marque;modele;annee;age_voiture;carburant;boite_vitesse;kilometrage;puissance_fiscale_cv;puissance_reelle_ch;prix;code_postal;url_annonce
Volvo;Xc40;2025;1;essence;Automatique;17713;9;163;39999;77;https://www.autosphere.fr/fiche/auto-occasion-volvo-xc40-b3-163ch-ultra-dct-7-77144-montevrain-253123
Peugeot;2008;2008;18;essence;Automatique;59968;7;130;11499;60;https://www.autosphere.fr/fiche/auto-occasion-peugeot-2008-1-2-puretech-130ch-e6-c-crossway-s-s-eat6-60740-saint-maximin-1019882
Ford;Puma;2023;3;e85;Manuelle;16425;6;125;18490;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-puma-1-0-flexifuel-125ch-s-s-mhev-titanium-59494-petite-foret-6218477
Toyota;Yaris;2022;4;hybride;Automatique;28578;5;92;18990;74;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-dynamic-5p-my22-74330-epagny-143285
Peugeot;208;2021;5;essence;Manuelle;63271;5;100;11980;51;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-allure-118g-51530-dizy-cr000133
Renault;Arkana;2022;4;hybride;Automatique;43145;5;145;23099;62;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-6-e-tech-hybride-145ch-rs-line-fast-track-62000-arras-451375
Bmw;Série 1;2022;4;essence;Manuelle;50307;7;136;23799;13;https://www.autosphere.fr/fiche/auto-occasion-bmw-serie-1-118i-136ch-business-design-13100-aix-en-provence-919919
Renault;Twingo;2022;4;électrique;Automatique;32904;3;82;11279;26;https://www.autosphere.fr/fiche4/auto-occasion-renault-twingo-e-tech-electric-techno-r80-achat-integral-26100-romans-sur-isere-119895
Dacia;Sandero;2023;3;essence;Automatique;22209;5;90;16990;69;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-tce-90ch-expression-cvt-69400-arnas-915389
Ford;Kuga;2020;6;diesel;Manuelle;58823;6;120;19999;59;https://www.autosphere.fr/fiche/auto-occasion-ford-kuga-1-5-ecoblue-120ch-titanium-59552-lambres-lez-douai-4221099
Dacia;Spring;2020;6;électrique;Automatique;12636;2;45;9499;57;https://www.autosphere.fr/fiche/auto-occasion-dacia-spring-45ch-business-2020-achat-integral-57000-metz-226910
Mg;Mg3;2024;2;hybride;Automatique;7960;5;195;18912;8;https://www.autosphere.fr/fiche4/auto-occasion-mg-mg3-hybrid-195ch-luxury-08000-charleville-mezieres-655
Ds;Ds 3 Crossback;2020;6;diesel;Manuelle;80761;5;100;15999;86;https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-100ch-so-chic-86100-chatellerault-1231971
Bmw;Série 2 Coupé;2022;4;essence;Automatique;31617;10;184;38999;33;https://www.autosphere.fr/fiche-mixte/auto-occasion-bmw-serie-2-coupe-220ia-184ch-m-sport-33700-merignac-2510003
Citroen;C3 Aircross;2023;3;essence;Manuelle;81228;6;110;14090;8;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c3-aircross-puretech-110ch-s-s-shine-08000-charleville-mezieres-640
Renault;Symbioz;2025;1;hybride;Automatique;7000;5;160;33999;13;https://www.autosphere.fr/fiche/auto-occasion-renault-symbioz-1-8-e-tech-full-hybrid-160ch-iconic-25-13127-vitrolles-5364d
Peugeot;3008;2025;1;essence;Automatique;10;7;145;38999;13;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-2-hybrid-145ch-gt-e-dcs6-13100-aix-en-provence-95775
Kia;Niro;2025;1;hybride;Automatique;24062;5;129;28660;38;https://www.autosphere.fr/fiche4/auto-occasion-kia-niro-1-6-gdi-129ch-hev-active-business-dct6-38000-grenoble-115772
Volkswagen;Golf;2023;3;diesel;Automatique;14649;8;150;32799;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-golf-2-0-tdi-scr-150ch-r-line-dsg7-86000-poitiers-402864
Renault;Captur;2022;4;hybride;Automatique;98944;5;145;17999;54;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-rs-line-54135-mexy-241176
Mercedes;Classe A;2022;4;essence;Automatique;59183;7;136;25999;17;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-classe-a-180-136ch-style-line-7g-dct-17138-puilboreau-16324
Mitsubishi;Eclipse Cross;2023;3;hybride;Automatique;22;5;188;30499;37;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-black-collection-4wd-2023-37540-saint-cyr-sur-loire-102805
Mercedes;Vito;2022;4;diesel;Automatique;97348;7;136;27499;17;https://www.autosphere.fr/fiche/auto-occasion-mercedes-vito-114-cdi-long-pro-propulsion-9g-tronic-17140-lagord-11360
Volkswagen;Id.5;2022;4;électrique;Automatique;54042;5;204;28299;86;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-id-5-204ch-pro-performance-77-kwh-86000-poitiers-403005
Volkswagen;T-Cross;2022;4;essence;Automatique;43398;6;110;20999;62;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-t-cross-1-0-tsi-110ch-lounge-business-dsg7-62219-longuenesse-250951
Peugeot;3008;2020;6;hybride;Automatique;65980;10;225;21490;51;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-3008-hybrid-225ch-allure-e-eat8-10cv-51530-dizy-cr000334
Dacia;Sandero;2022;4;essence;Manuelle;50085;5;90;14299;59;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-confort-22-59470-wormhout-250827
Renault;Captur;2023;3;hybride;Automatique;32530;5;145;20499;51;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-equilibre-51120-sezanne-550576
Dacia;Duster;2025;1;essence;Manuelle;10;7;130;27299;51;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-duster-1-2-mild-hybrid-130ch-journey-51530-magenta-e002996
Citroen;C1;2021;5;essence;Manuelle;59894;4;72;9799;63;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c1-vti-72-s-s-feel-5p-e6-d-63000-clermont-ferrand-1002727
Toyota;Aygo X;2023;3;essence;Manuelle;10034;4;72;13999;75;https://www.autosphere.fr/fiche/auto-occasion-toyota-aygo-x-1-0-vvt-i-72ch-active-75005-paris-044497
Citroen;C4;2024;2;essence;Automatique;22580;7;130;19680;74;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c4-1-2-puretech-130ch-s-s-max-automatique-74150-rumilly-159661
Mini;Cooper 3 Portes;2024;2;électrique;Automatique;9742;5;218;37499;13;https://www.autosphere.fr/fiche/auto-occasion-mini-cooper-3-portes-se-218ch-jcw-13100-aix-en-provence-12114
Citroen;C5 Aircross;2020;6;essence;Automatique;52881;7;130;18489;73;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-puretech-130ch-s-s-shine-eat8-e6-d-73203-albertville-212151
Dacia;Sandero;2021;5;essence;Manuelle;73818;5;90;12650;38;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-confort-22-38200-vienne-100772
Peugeot;2008;2008;18;essence;Automatique;10333;7;136;24299;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-hybrid-136ch-active-e-dcs6-64200-bassussarry-49625
Peugeot;308;2025;1;essence;Manuelle;5;7;130;22799;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-2-puretech-130ch-s-s-allure-86000-poitiers-1242745
Renault;Captur;2017;9;diesel;Manuelle;98500;5;110;12980;51;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-5-dci-110ch-energy-initiale-paris-51530-dizy-cr000022
Renault;Kangoo;2023;3;diesel;Manuelle;6581;5;95;26299;62;https://www.autosphere.fr/fiche/auto-occasion-renault-kangoo-1-5-blue-dci-95ch-equilibre-62231-coquelles-251200
Ford;Fiesta;2023;3;e85;Manuelle;30977;5;95;17999;62;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-fiesta-1-0-flexifuel-95ch-st-line-5p-62217-beaurains-a2079343
Peugeot;3008;2025;1;électrique;Automatique;10;7;210;43999;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-electrique-210ch-batterie-73-kwh-gt-86000-poitiers-ss097736
Renault;Captur;2025;1;hybride;Automatique;11846;5;145;25999;94;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-techno-94000-creteil-100114
Renault;Captur;2023;3;essence;Manuelle;39935;5;90;14999;60;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-equilibre-60200-compiegne-3014239
Renault;Captur;2022;4;hybride;Automatique;17570;5;145;21999;74;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-rive-gauche-74200-thonon-les-bains-049148
Toyota;Corolla Touring Sports;2025;1;hybride;Automatique;3000;5;140;31490;75;https://www.autosphere.fr/fiche/auto-occasion-toyota-corolla-touring-sports-1-8-140ch-design-my25-75005-paris-sthf067gh
Renault;Arkana;2023;3;hybride;Automatique;66056;5;145;21999;57;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-6-e-tech-hybride-145ch-techno-22-57200-sarreguemines-008522
Renault;Captur;2016;10;essence;Automatique;96322;6;120;10499;86;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-2-tce-120ch-energy-intens-edc-86100-chatellerault-1231921
Peugeot;2008;2008;18;essence;Manuelle;22965;7;130;16980;73;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-allure-73000-chambery-330802
Citroen;C3;2022;4;essence;Manuelle;15587;4;83;11499;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12091891
Citroen;C3;2021;5;diesel;Manuelle;51961;5;100;10580;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-5-bluehdi-100ch-s-s-bvm-6-feel-nav-38320-eybens-250966
Dacia;Sandero;2021;5;gpl;Manuelle;16654;5;100;14299;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-eco-g-100ch-confort-59850-nieppe-250731
Renault;Espace;2025;1;hybride;Automatique;9745;7;200;44499;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-espace-1-2-e-tech-full-hybrid-200ch-iconic-5-places-25-59640-dunkerque-st44061748
Renault;Austral;2025;1;hybride;Automatique;2000;7;200;37499;84;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-austral-1-2-e-tech-full-hybrid-200ch-techno-25-84120-pertuis-a0241
Renault;Clio;2025;1;gpl;Manuelle;9287;5;100;18499;77;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-eco-g-100ch-techno-24-77100-nanteuil-les-meaux-037224
Nissan;Leaf;2021;5;électrique;Automatique;45753;6;150;14489;26;https://www.autosphere.fr/fiche4/auto-occasion-nissan-leaf-150ch-40kwh-n-connecta-21-5-26000-valence-206501
Ds;Ds 3 Crossback;2021;5;essence;Automatique;63140;8;155;18299;16;https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-155ch-ines-de-la-fressange-paris-automatique-16430-champniers-128408
Peugeot;208;2023;3;essence;Automatique;8065;5;100;19299;60;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-gt-eat8-60740-saint-maximin-1019911
Dacia;Duster;2022;4;gpl;Manuelle;40802;5;100;17799;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-extreme-4x2-62000-arras-451395
Dacia;Lodgy;2020;6;essence;Manuelle;70552;7;130;14499;74;https://www.autosphere.fr/fiche/auto-occasion-dacia-lodgy-1-3-tce-130ch-fap-15-ans-7-places-74100-annemasse-121852
Dacia;Duster;2024;2;essence;Manuelle;17800;7;130;21812;26;https://www.autosphere.fr/fiche4/auto-occasion-dacia-duster-1-3-tce-130ch-fap-journey-4x2-26000-valence-442492
Peugeot;3008;2021;5;diesel;Automatique;112574;7;130;20999;37;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-5-bluehdi-130ch-s-s-gt-eat8-37540-saint-cyr-sur-loire-103245
Renault;Koleos;2019;7;diesel;Automatique;78788;8;150;21999;13;https://www.autosphere.fr/fiche/auto-occasion-renault-koleos-1-7-blue-dci-150ch-initiale-paris-x-tronic-13800-istres-023941
Peugeot;2008;2008;18;essence;Manuelle;94125;7;130;9280;73;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-2008-1-2-puretech-130ch-e6-c-allure-s-s-73490-la-ravoire-330836
Citroen;C5 Aircross;2021;5;diesel;Automatique;110300;7;130;18876;51;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-bluehdi-130ch-s-s-shine-pack-eat8-e6-d-51100-reims-001498
Kia;Picanto;2023;3;essence;Manuelle;15563;4;84;13999;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-kia-picanto-1-2-dpi-84ch-gt-line-64140-billere-202951
Renault;5;2025;1;électrique;Automatique;5000;5;150;31990;26;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-5-e-tech-electrique-150ch-techno-autonomie-confort-26100-romans-sur-isere-vd137750
Renault;Master;2023;3;diesel;Manuelle;31710;8;135;24799;13;https://www.autosphere.fr/fiche/auto-occasion-renault-master-f3500-l2h2-2-3-blue-dci-135ch-confort-euro6-13730-saint-victoret-46050
Renault;Captur;2023;3;essence;Manuelle;15150;5;90;17799;2;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-02000-laon-250853
Mercedes;Classe A;2023;3;essence;Automatique;41601;9;163;31999;60;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-classe-a-200-163ch-amg-line-7g-dct-60000-beauvais-478
Ds;Ds 3 Crossback;2020;6;essence;Automatique;73000;7;130;14980;8;https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-08000-charleville-mezieres-450
Dacia;Sandero;2024;2;gpl;Manuelle;12000;5;100;15999;13;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-expression-24-13127-vitrolles-c1198
Renault;Express;2024;2;diesel;Manuelle;33670;5;75;15799;84;https://www.autosphere.fr/fiche/auto-occasion-renault-express-1-5-blue-dci-75ch-confort-22-84120-pertuis-881862
Peugeot;308;2025;1;essence;Automatique;15261;7;136;24999;37;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-2-hybrid-136ch-style-e-dcs6-37540-saint-cyr-sur-loire-102971
Toyota;C-Hr;2023;3;hybride;Automatique;10034;8;184;27990;74;https://www.autosphere.fr/fiche/auto-occasion-toyota-c-hr-2-0-hybride-184ch-design-ultimate-e-cvt-74330-epagny-143262
Renault;Clio;2022;4;hybride;Automatique;50900;5;140;18499;33;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-hybride-140ch-rs-line-21n-33700-merignac-250729
Peugeot;208;2024;2;essence;Automatique;25001;5;100;19490;51;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-51530-dizy-cr000295
Renault;Clio;2025;1;hybride;Automatique;7075;5;145;21999;13;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-13730-saint-victoret-46227
Renault;Master;2021;5;diesel;Manuelle;67361;8;135;21299;62;https://www.autosphere.fr/fiche/auto-occasion-renault-master-f3300-l2h2-2-3-dci-135ch-grand-confort-e6-62000-arras-451574
Peugeot;5008;2024;2;essence;Automatique;7141;7;136;33280;74;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-5008-hybrid-136ch-gt-e-dcs6-74600-seynod-159445
Volkswagen;Tiguan;2019;7;essence;Automatique;64022;8;150;29999;86;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-tiguan-1-5-tsi-evo-150ch-carat-exclusive-dsg7-euro6d-t-86100-chatellerault-431061
Kia;Rio;2020;6;essence;Manuelle;68863;6;120;14799;74;https://www.autosphere.fr/fiche/auto-occasion-kia-rio-1-0-t-gdi-120ch-gt-line-premium-74200-thonon-les-bains-049149
Peugeot;208;2021;5;essence;Automatique;61250;5;100;15399;60;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-gt-pack-eat8-60005-beauvais-2016606
Peugeot;208;2020;6;essence;Automatique;100607;5;100;11579;51;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-business-eat8-51530-dizy-cr000222
Renault;Mégane;2022;4;hybride;Automatique;67245;5;160;16384;25;https://www.autosphere.fr/fiche4/auto-occasion-renault-megane-1-6-e-tech-plug-in-160ch-business-21n-25300-pontarlier-663047
Nissan;Qashqai;2022;4;hybride;Automatique;24251;8;190;29980;1;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-e-power-190ch-tekna-2022-01000-bourg-en-bresse-206427
Hyundai;Bayon;2022;4;essence;Manuelle;35103;5;100;15990;51;https://www.autosphere.fr/fiche-mixte/auto-occasion-hyundai-bayon-1-0-t-gdi-100ch-hybrid-48v-intuitive-51530-dizy-cr000309
Renault;Espace;2025;1;hybride;Automatique;4384;7;200;38999;13;https://www.autosphere.fr/fiche/auto-occasion-renault-espace-1-2-e-tech-full-hybrid-200ch-esprit-alpine-7-places-24-13100-aix-en-provence-881461
Dacia;Sandero;2023;3;gpl;Manuelle;21919;5;100;14799;10;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-expression-10000-troyes-025694
Seat;Arona;2023;3;essence;Manuelle;31570;6;110;16999;33;https://www.autosphere.fr/fiche/auto-occasion-seat-arona-1-0-tsi-110ch-fr-33260-la-teste-de-buch-300894
Ford;Puma;2025;1;électrique;Automatique;9999;4;168;36999;62;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-puma-gen-e-168ch-standard-range-43-kwh-premium-62400-bethune-st43835499
Peugeot;3008;2018;8;essence;Automatique;69435;7;130;14479;51;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-3008-1-2-essence-130ch-allure-s-s-eat6-51530-dizy-cr307043
Peugeot;308;2024;2;essence;Automatique;16076;7;136;24280;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-2-hybrid-136ch-allure-e-dcs6-38000-grenoble-115110
Citroen;C5 Aircross;2021;5;hybride;Automatique;94245;10;225;18979;8;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-hybrid-225ch-c-series-e-eat8-08000-charleville-mezieres-564
Bmw;Série 1;2017;9;diesel;Manuelle;114217;7;150;14480;73;https://www.autosphere.fr/fiche4/auto-occasion-bmw-serie-1-118d-150ch-lounge-5p-73203-albertville-211951
Peugeot;3008;2024;2;essence;Automatique;41998;7;136;27480;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-1-2-hybrid-136ch-gt-e-dcs6-38300-bourgoin-jallieu-10043
Bmw;X2;2022;4;diesel;Automatique;60695;6;116;25499;33;https://www.autosphere.fr/fiche/auto-occasion-bmw-x2-sdrive16da-116ch-business-design-dkg7-euro6d-t-33700-merignac-2509004
Citroen;C3;2023;3;diesel;Manuelle;34960;5;100;13399;86;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-5-bluehdi-100ch-s-s-feel-e6-d-86000-poitiers-2101991
Renault;Rafale;2025;1;hybride;Automatique;16535;7;200;43299;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-rafale-1-2-e-tech-full-hybrid-200ch-esprit-alpine-59223-roncq-511225
Nissan;Leaf;2022;4;électrique;Automatique;36190;6;150;12980;26;https://www.autosphere.fr/fiche4/auto-occasion-nissan-leaf-150ch-40kwh-acenta-21-5-26000-valence-206342
Mini;Countryman;2022;4;hybride;Automatique;49319;6;125;30999;13;https://www.autosphere.fr/fiche/auto-occasion-mini-countryman-cooper-se-125ch-95ch-edition-premium-plus-all4-bva6-13100-aix-en-provence-919946
Mercedes;Eqa;2024;2;électrique;Automatique;25876;7;190;34499;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-eqa-250-190ch-edition-86000-poitiers-2250715
Renault;Master;2023;3;diesel;Manuelle;40713;8;135;25999;37;https://www.autosphere.fr/fiche/auto-occasion-renault-master-f3300-l2h2-2-3-blue-dci-135ch-grand-confort-euro6-37540-saint-cyr-sur-loire-103253
Toyota;Yaris;2022;4;hybride;Automatique;71662;5;92;16990;74;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-dynamic-5p-my22-74330-epagny-143253
Renault;Captur;2025;1;gpl;Manuelle;5876;5;100;23799;10;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-eco-g-100ch-techno-10000-troyes-025663
Renault;Twingo;2022;4;électrique;Automatique;12137;3;82;10999;13;https://www.autosphere.fr/fiche/auto-occasion-renault-twingo-e-tech-electric-intens-r80-achat-integral-21my-13730-saint-victoret-45971
Toyota;Yaris;2023;3;hybride;Automatique;44727;5;92;18999;75;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-dynamic-5p-my22-75005-paris-044564
Renault;Clio;2022;4;hybride;Automatique;46395;5;145;16299;13;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-hybride-145ch-equilibre-13730-saint-victoret-46241
Renault;Symbioz;2025;1;hybride;Automatique;16921;5;145;26999;62;https://www.autosphere.fr/fiche/auto-occasion-renault-symbioz-1-6-e-tech-full-hybrid-145ch-evolution-62218-loison-sous-lens-251056
Volkswagen;Tiguan;2022;4;diesel;Automatique;108248;8;150;26990;69;https://www.autosphere.fr/fiche4/auto-occasion-volkswagen-tiguan-2-0-tdi-150ch-elegance-dsg7-69400-arnas-915386
Dacia;Duster;2022;4;gpl;Manuelle;85000;5;100;15299;59;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-confort-4x2-59640-dunkerque-601081
Audi;A1 Sportback;2024;2;essence;Automatique;14618;5;95;25499;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-audi-a1-sportback-25-tfsi-95ch-s-line-s-tronic-7-86000-poitiers-411386
Dacia;Spring;2021;5;électrique;Automatique;19427;2;45;8499;51;https://www.autosphere.fr/fiche/auto-occasion-dacia-spring-confort-plus-achat-integral-51530-magenta-250403
Renault;Captur;2024;2;gpl;Manuelle;13762;5;100;18890;13;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-100ch-evolution-gpl-13300-salon-de-provence-302775
Toyota;Proace;2023;3;diesel;Manuelle;21124;7;140;25989;73;https://www.autosphere.fr/fiche-mixte/auto-occasion-toyota-proace-long-2-0-d-4d-140-dynamic-mc23-73490-la-ravoire-330994
Renault;Captur;2023;3;essence;Manuelle;27350;5;90;17999;51;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-evolution-51530-magenta-250777
Renault;Captur;2021;5;hybride;Automatique;0;5;92;18399;57;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-rechargeable-160-intens-camera-carplay-36500kms-gtie-1an-57400-buhl-lorraine-009515
Renault;Clio;2018;8;essence;Manuelle;43082;5;90;10999;51;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-0-9-tce-90ch-limited-5p-51100-reims-115347
Renault;Zoé;2021;5;électrique;Automatique;57571;4;109;12499;51;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-life-charge-normale-r110-achat-integral-21-51530-magenta-550710
Peugeot;308;2024;2;essence;Automatique;9215;7;136;24999;86;https://www.autosphere.fr/fiche/auto-occasion-peugeot-308-1-2-hybrid-136ch-allure-e-dcs6-86400-civray-83117
Citroen;C5 Aircross;2024;2;essence;Automatique;15895;7;136;24499;62;https://www.autosphere.fr/fiche/auto-occasion-citroen-c5-aircross-1-2-hybride-136ch-max-boite-automatique-62218-loison-sous-lens-251208
Dacia;Sandero;2021;5;essence;Manuelle;67351;5;90;12999;37;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-confort-37170-chambray-les-tours-500288
Toyota;C-Hr;2025;1;hybride;Automatique;7500;8;200;38990;75;https://www.autosphere.fr/fiche/auto-occasion-toyota-c-hr-2-0-hybride-200ch-collection-premiere-ng23-75005-paris-prhd857fh
Renault;Austral;2023;3;hybride;Automatique;56622;7;200;29299;2;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-austral-1-2-e-tech-full-hybrid-200ch-iconic-02300-chauny-250612
Renault;Arkana;2021;5;hybride;Automatique;94604;5;145;19399;62;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-6-e-tech-145ch-intens-21b-62231-coquelles-251366
Renault;5;2025;1;électrique;Automatique;6755;5;150;28499;13;https://www.autosphere.fr/fiche/auto-occasion-renault-5-e-tech-electrique-150ch-iconic-cinq-autonomie-confort-13127-vitrolles-30567
Renault;Clio;2022;4;essence;Manuelle;23347;4;65;12999;62;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-sce-65ch-zen-21n-62231-coquelles-250924
Peugeot;208;2021;5;essence;Manuelle;72779;5;100;11979;1;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-allure-118g-01000-bourg-en-bresse-305685
Volkswagen;Polo;2023;3;essence;Automatique;15879;6;110;24499;51;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-polo-1-0-tsi-110ch-r-line-dsg7-51530-magenta-e002983
Renault;Zoé;2023;3;électrique;Automatique;19771;4;109;15499;74;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-evolution-charge-normale-r110-achat-integral-my22-74200-thonon-les-bains-048974
Lexus;Nx;2022;4;hybride;Automatique;73734;10;185;42299;69;https://www.autosphere.fr/fiche/auto-occasion-lexus-nx-450h-luxe-4wd-69410-champagne-au-mont-d-or-063795
Citroen;C3;2025;1;électrique;Automatique;5000;4;113;19390;63;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-electrique-113ch-you-63000-clermont-ferrand-st42944644
Citroen;Berlingo Van;2025;1;diesel;Manuelle;100;5;100;21999;86;https://www.autosphere.fr/fiche/auto-occasion-citroen-berlingo-van-m-1000kg-bluehdi-100ch-s-s-86100-chatellerault-1232069
Dacia;Sandero;2022;4;gpl;Manuelle;54220;5;100;12799;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-22-62219-longuenesse-250633
Peugeot;208;2022;4;diesel;Manuelle;75053;5;100;12979;38;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-5-bluehdi-100ch-s-s-active-38000-grenoble-114893
Citroen;Berlingo Van;2024;2;diesel;Manuelle;11240;5;100;19999;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-berlingo-van-m-1000kg-bluehdi-100ch-s-s-86100-chatellerault-1231995
Peugeot;208;2021;5;diesel;Manuelle;31206;5;100;14900;74;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-affaire-1-5-bluehdi-100ch-s-s-allure-74600-seynod-159622
Renault;Master;2023;3;diesel;Manuelle;22967;8;135;26799;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-master-f3500-l2h2-2-3-blue-dci-135ch-confort-euro6e-86100-chatellerault-1232075
