marque;modele;annee;age_voiture;carburant;boite_vitesse;kilometrage;puissance_fiscale_cv;puissance_reelle_ch;prix;code_postal;url_annonce
Renault;Clio;2024;2;essence;Manuelle;22872;5;90;15999;51;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-24-51530-magenta-550551
Dacia;Sandero;2021;5;gpl;Manuelle;33998;5;100;13499;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-62000-arras-451497
Peugeot;2008;2008;18;essence;Manuelle;38628;7;130;14490;74;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-gt-line-124g-74600-seynod-159683
Peugeot;2008;2008;18;essence;Manuelle;28127;5;100;18479;1;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-100ch-s-s-allure-01000-bourg-en-bresse-128144
Renault;Zoé;2023;3;électrique;Automatique;16050;4;109;16299;84;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-evolution-charge-normale-r110-achat-integral-my22-84120-pertuis-881656
Peugeot;208;2025;1;essence;Automatique;10;5;110;23999;13;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-110ch-allure-e-dcs6-13100-aix-en-provence-95689
Renault;Clio;2022;4;essence;Manuelle;30837;5;90;13549;26;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-26000-valence-442376
Citroen;C3;2022;4;diesel;Manuelle;54972;5;100;13578;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-5-bluehdi-100ch-s-s-shine-pack-e6-d-38320-eybens-250944
Peugeot;2008;2008;18;essence;Automatique;41331;7;130;16580;1;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-allure-business-eat8-01000-bourg-en-bresse-128426
Dacia;Sandero;2021;5;essence;Manuelle;41236;4;65;11299;74;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-sce-65ch-confort-74100-annemasse-121932
Renault;Zoé;2022;4;électrique;Automatique;23455;4;109;15399;59;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-evolution-charge-normale-r110-achat-integral-22-59160-lomme-300387
Citroen;C3;2022;4;essence;Manuelle;60008;4;83;10299;86;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12092151
Renault;Clio;2022;4;essence;Manuelle;53599;5;90;14499;62;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-limited-21n-62000-arras-451412
Peugeot;308;2023;3;hybride;Automatique;24804;8;180;22413;73;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-phev-180ch-active-pack-e-eat8-73203-albertville-211304
Dacia;Sandero;2022;4;gpl;Manuelle;12694;5;100;14299;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-expression-62000-arras-451484
Mini;Mini;2022;4;essence;Automatique;10101;7;136;25999;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-cooper-136ch-essential-bva7-59650-villeneuve-d-ascq-2510645
Dacia;Sandero;2022;4;gpl;Manuelle;60520;5;100;13299;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-confort-22b-62218-loison-sous-lens-251143
Dacia;Duster;2025;1;hybride;Automatique;15528;5;140;26999;13;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-duster-1-6-hybrid-140ch-extreme-13730-saint-victoret-46231
